id,name,description,category,Immnity,Robustness,Focus,Vitality,Poise,weight
17f692d6b5al0i0nbvb3a2bhklmel9,Aristocrat Garb,"High quality garb adorned with fine golden embroidery. Travel attire worn by nobles in the capital. Terribly faded and tattered. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",Chest Armor,47,33,0,30,0,4.9
17f697ac6cal0i0nbwibax7uqbwu4d,Aristocrat Garb (altered),Lighter version of the Aristocrat Garb.,Chest Armor,42,29,0,25,0,4.1
17f693eea6bl0i0okx2njnrl2iildc,Aristocrat Hat,"Leather hat decorated with a withered feather. Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor.",Helm,22,14,18,20,1,3
17f698b96d7l0i0okxivnlu37ckb6,Aristocrat Headband,Valuable headband featuring fine goldwork.,Helm,15,10,25,22,0,1.2
17f69858eb0l0i0on54p2gfohha90e,Ash-of-war Scarab,Gray scarab worn directly on the head.,Helm,42,22,27,0,2,5.1
17f69652c6fl0i0o5x1bsdx0d6pona,Astrologer Gloves,"Gloves fashioned from fine, supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",Gauntlets,14,7,24,21,1,1.4
17f699271d3l0i0on6tce8ayc3kic,Astrologer Hood,"Hood fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",Helm,18,9,31,27,1,1.7
17f696dc24el0i0ndj4er6v25jkwqd,Astrologer Robe,"Robe fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",Chest Armor,50,24,90,76,5,6.3
17f694e487fl0i0ndlkf15nkhfpgah,Astrologer Robe (altered),Lighter version of the Astrologer Robe,Chest Armor,42,21,0,64,0,5.3
17f6975004bl0i0pf2ymcptcjn4xmk,Astrologer Trousers,"Trousers worn inside a robe. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",Leg Armor,31,15,56,47,3,3.9
17f695b9b2bl0i0on94j5g3fwtv4f,Azur's Glintstone Crown,"Crown of Azur, primeval current sorcerer, set with a prominent blue-green glintstone.",Helm,23,14,44,39,2,3.6
17f694ffd2el0i0ndf0zrwzni9hv1,Azur's Glintstone Robe,A robe reserved for grant masters at the Academy of Raya Lucaria. Corroded by blue-green glintstones.,Chest Armor,50,28,99,83,3,7.1
17f69569ff4l0i0o5u2wskq7pesy49,Azur's Manchettes,"Manchettes corroded by blue-green glintstones. Worn by Azur, primeval current sorcerer.",Gauntlets,12,8,22,20,0,1.1
17f6942cf80l0i0pf31ce2r8w9laqo,Bandit Boots,Leather boots worn by bandits.,Leg Armor,34,20,35,35,2,4.4
17f69989b5bl0i0ndk23xuv2wasv77,Bandit Garb,Leather garb worn by bandits.,Chest Armor,57,35,60,60,5,7.7
17f695f7dfcl0i0o5xe2kug0vg0iiz,Bandit Manchettes,Manchettes made by simple wrapping dirty cloth around the arms. Worn by bandits.,Gauntlets,15,8,17,17,0,1
17f69600328l0i0on3l3z1z6jv0lrt,Bandit Mask,"Mask of black cloth that covers the mouth. Favored by bandits for hiding their faces, it also provides some protection against poison.",Helm,33,16,16,18,1,3
17f6935585fl0i0ne8s2gcl84asvoi,Banished Knight Armor,"Thick, full set of armor covering the entire body. This armor was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",Chest Armor,63,90,42,42,28,17.5
17f69ba0a8al0i0ndi7y4hl33hny4,Banished Knight Armor (altered),Lighter version of the Banished Knight Armor.,Chest Armor,52,69,0,34,0,16.5
17f69862434l0i0o5z4v0cvfozbd5,Banished Knight Gauntlets,"Thick, full set of armor covering the entire body. These gauntlets were worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",Gauntlets,20,28,13,14,6,5.8
17f6971934fl0i0pf3xzqx2bx77g49,Banished Knight Greaves,"Thick, full set of armor covering the entire body. These greaves were worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",Leg Armor,37,51,24,26,17,10.8
17f69ac8d83l0i0on9b78j283zdb3c,Banished Knight Helm,"Thick, full set of armor covering the entire body. This helm was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",Helm,27,39,18,18,9,7.5
17f6948386bl0i0on4t6xzj16dejzm,Banished Knight Helm (altered),Lighter version of the Banished Knight Helm,Helm,21,30,0,14,0,7.1
17f6939586bl0i0pf342a1vm5kkewl,Battlemage Legwraps,"Legwraps worn by the scholars of the Raya Lucaria Academy, tattered from being worn on the battlefield.",Leg Armor,26,14,39,44,1,2.5
17f695766c8l0i0o5wasui4pl06qia,Battlemage Manchettes,"Manchettes worn by scholars of the Raya Lucaria Academy, tattered from being worn on the battlefield.",Gauntlets,13,7,20,22,0,1.1
17f69965516l0i0ndhqx8pi2kbhe8d,Battlemage Robe,"Robe worn by scholars of the Raya Lucaria Academy scholar, tattered from being worn on the battlefield.",Chest Armor,42,23,63,71,2,4.1
17f694178c9l0i0ndn4e10pcg63tee,Beast Champion Armor,"Silver armor engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire.",Chest Armor,55,83,38,35,28,16
17f69391b3bl0i0ndt4c0it6kwlyag,Beast Champion Armor (altered),Lighter version of the  Best Champion Armor,Chest Armor,50,75,0,32,0,16.4
17f695c02ebl0i0o6gegz5qdy7kztd,Beast Champion Gauntlets,"Silver gauntlets engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire.",Gauntlets,19,30,14,13,6,5.8
17f69be35f5l0i0pf697dz3w77lres,Beast Champion Greaves,Silver greaves engraved with tiny beasts. Worn by Bernahl the Recusant.,Leg Armor,35,56,26,24,17,10.8
17f69b5a95cl0i0onb5s3gw477p75,Beast Champion Helm,Silver helm engraved with tiny beasts. Worn by Bernahl the Recusant.,Helm,24,39,18,16,9,7.5
17f695d037el0i0on3psdxvuouz67s,Black Dumpling,"Mask forced on a victim's head to lend torture an extra degree of cruelty. It magnifies one's fears and make them acutely aware of all forms of pain Raises attack power when the wearer suffers from madness. When the Black Dumpling goes on, the torturer no longer seeks answers; only to inflict suffering without hope of relief.",Helm,24,15,0,20,0,2.7
17f69c20d31l0i0on75g02np9ldmub,Black Hood,Hood of lusterless black fabric that conceals its wearer's identity.,Helm,33,16,16,18,1,3
17f696d739fl0i0ndpwqkk3g89lpk,Black Knife Armor,"Scale armor used by the Black Knife Assassins, forged to make no sound. Traces of power yet remain in its concealing veil, which muffles the sound of footsteps. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",Chest Armor,28,46,23,23,14,9.2
17f6937143al0i0neejcyw9x5dlcff,Black Knife Armor (altered),Lighter version of the Black Knife Armor,Chest Armor,25,42,0,21,0,9
17f69727c7el0i0o6hgopjq1dozrl,Black Knife Gauntlets,"Gauntlets used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",Gauntlets,9,15,8,8,3,3.1
17f697e7b70l0i0pf7qlnt28ojl0nh,Black Knife Greaves,"Greaves used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",Leg Armor,17,29,14,14,8,5.7
17f698bfbd5l0i0oosutzqaoowrtf,Black Knife Hood,"Hood used by the Black Knife Assassins. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be N u men who had close ties with Marika herself.",Helm,11,18,9,9,4,3.8
17f6965c7afl0i0oors9r1s1ulmh1p,Black Wolf Mask,A mask fashioned after the head of a black wolf.,Helm,16,33,11,11,8,5.9
17f6978a0d3l0i0nfv5cv59797t18,Blackflame Monk Armor,Black iron armor adorned with ashen cloth.,Chest Armor,32,55,21,32,19,11.8
17f694f3eadl0i0o7mtggrz1ofisub,Blackflame Monk Gauntlets,Black iron gauntlets featuring a flame motif. Attire of the Blackflame Monks.,Gauntlets,11,18,7,11,4,3.9
17f692d4de3l0i0pf68kg5ine04x3,Blackflame Monk Greave,Black iron greaves featuring a flame motif.,Leg Armor,20,34,13,20,11,7.3
17f695e29e2l0i0op3yqenk2g551h9,Blackflame Monk Hood,Mail hood of iron links covering a headband engraved with black flames.,Helm,11,20,5,11,5,4
17f69b1c4d5l0i0ooxx6c6v58994m2,Blackguard's Iron Mask,"Iron mask forced on convicted prisoners. Worn by the blackguard Big Boggart. To Boggart, the mask made him all the more threatening, and helped him get what he wanted. But it was also a mirror of his emptiness.",Helm,22,31,0,12,0,6.2
17f6960eae6l0i0nfy8iinlzz27,Blaidd's Armor,Well-worn black armor of the man-wolf Blaidd,Chest Armor,38,76,25,25,24,13.7
17f695d4d39l0i0nfv30z1i34pnvzqf,Blaidd's Armor (altered),Lighter version of the Blaidd's Armor,Chest Armor,32,57,0,21,0,12.5
17f695d9337l0i0o7r1gta915accj,Blaidd's Gauntlets,Well-worn black gauntlets of the man-wolf Blaidd.,Gauntlets,13,21,8,8,5,4.6
17f698db294l0i0pfbl9pw0tl3d08i,Blaidd's Greaves,Well-worn black greaves of the man-wolf Blaidd.,Leg Armor,24,39,16,16,14,8.5
17f69756830l0i0nfv30b2rsq1b3p5,Bloodhound Knight Armor,Metal armor with a jutting breastplate.  Worn by the Bloodhound Knights.,Chest Armor,32,50,23,23,14,10.6
17f6930b5f4l0i0nfs4e48erx5y37e,Bloodhound Knight Armor (altered),Lighter version of the Bloodhound Knight Armor,Chest Armor,29,45,0,21,0,9.6
17f69600773l0i0o7unm0v4n59mz9d,Bloodhound Knight Gauntlets,Metal gauntlets of the Bloodhound Knights.,Gauntlets,11,17,8,8,3,3.5
17f69b0ad55l0i0pgu633svhfssih,Bloodhound Knight Greaves,"Metal greaves of the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made the knight stays loyal for life.",Leg Armor,20,31,14,14,8,6.6
17f69af9da6l0i0ooxmok4mxl6swwr,Bloodhound Knight Helm,"Metal helm with a pointed beak. Worn by the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made, the knight stays loyal for life.",Helm,14,22,10,10,4,4.6
17f69b9eb6bl0i0o7tl4067pzud217,Bloodsoaked Manchettes,Manchettes formed from tightly-wound bandages soaked through with blood. Any protection is welcome for the festering arms beneath.,Gauntlets,14,9,24,22,0,1.4
17f6966b53cl0i0oosmb5p6q5qdlie,Bloodsoaked Mask,Mask formed from tightly-wound bandages soaked through with blood. Even the most ghastly cover is more inviting than the festering face beneath.,Helm,20,12,33,35,1,2.2
17f694aa574l0i0nfrfjfovdfsmoob,Bloodsoaked Tabard,Padded cloth armor with indelible bloodstains around the neck. Worn by headless foot soldiers who endlessly guard the Wandering Mausoleum.,Chest Armor,63,38,0,50,0,8.3
17f69a0e9c3l0i0op85xko5kr7u06j,Blue Cloth Cowl,"Cowl of a nomadic warrior. The blue color of its fabric symbolizes brisk waters, as fluid and flowing as the sword in the hand of its wearer. Just as still waters turn foul, stagnation leads to decay. Warriors must remain ever-drifting.",Helm,24,15,18,18,1,2.7
17f692f8268l0i0ng2x7ww9rwst8uv,Blue Cloth Vest,"Vest of a nomadic warrior. The blue color of its fabric symbolizes brisk waters, as fluid and flowing as the sword in the hand of its wearer. Just as still waters turn foul, stagnation leads to decay. Warriors must remain ever drifting.",Chest Armor,63,42,50,50,6,7.7
17f697cd43al0i0ng1v05yt93pykiy,Blue Festive Garb,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills. Use of this garb, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",Chest Armor,46,21,0,63,0,4.1
17f69406c8bl0i0ooy9wkif1vedtms,Blue Festive Hood,"Hood worn by dancers at the festivities in Dominula, the village of windmills. Use of this hood, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival.",Helm,20,9,0,27,0,1.7
17f69b50907l0i0o7utskwb58lgaii,Blue Silver Bracelets,Bracelets crafted with blue silver. Worn by the wolf-riding Albinauric archers.,Gauntlets,4,14,1,4,1,2.1
17f69470de4l0i0ng3qcwe0r963svq,Blue Silver Mail Armor,"Chainmail armor crafted with blue silver. Worn by the wolf-riding Albinauric archers. Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost.",Chest Armor,25,60,18,18,14,9.2
17f69b8ac34l0i0ng1cl9m395exm9,Blue Silver Mail Armor (altered),Lighter version of the Blue Silver Mail Armor,Chest Armor,21,52,0,10,0,8.5
17f6957a63fl0i0oovz7b4oy8p5sg5,Blue Silver Mail Hood,Chainmail hood crafted with blue silver. Worn by the wolf-riding Albinauric archers.,Helm,10,24,5,5,4,3.8
17f69a9a3c2l0i0pgoafeupih2koyi,Blue Silver Mail Skirt,Chainmail skirt crafted with blue silver. Worn by the wolf-riding Albinauric archers.,Leg Armor,15,35,7,7,7,5.5
17f69afe5b2l0i0nhch0j37nxu532xb,Brave's Battlewear,"Battlewear fashioned from leather armor adorned with a large sheet of cloth. Garb worn by warriors of the frigid uplands The red cloth signifies participation in the Long March long, long ago and this ceremonial garb beseeches the favor of the Warrior King who led them.",Chest Armor,42,23,0,67,0,4.1
17f6997525al0i0nhjhufowjmfwto,Brave's Battlewear (altered),Lighter version of the Brave's Battlewear,Chest Armor,38,21,0,61,0,4.1
17f6958f14el0i0o7rcnxhisq53oq8,Brave's Bracer,Gauntlets wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.,Gauntlets,12,6,0,20,0,0.8
17f69477d43l0i0oqqtcyx0gj0km2q,Brave's Cord Circlet,"Warrior's headband of woven leather. Garb worn by warriors of the frigid uplands. The small flags, white cloths and sheaves of wheat often found hung from these headbands are prayers of farewell from the people of their home. In bidding farewell t warriors departing on a journey from which they aren't like to return, this small act offers only meager relief.",Helm,15,8,0,26,0,1
17f69b13128l0i0or2eokpqdvdmv2b,Brave's Leather Helm,Battlewear wrapped in thick leather. Garb worn by warriors of the frigid uplands.,Helm,11,20,0,8,0,3.8
17f6955d1bbl0i0pgoujy78n1z704,Brave's Legwraps,Greaves wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.,Leg Armor,29,15,0,47,0,3.1
17f69bd3117l0i0nhi5aujkgurxk7s,Briar Armor,Battered iron armor from a foreign land. Worn by Elemer of the Briar.,Chest Armor,35,71,24,24,15,11.8
17f69a0b826l0i0nhemarkphpvbzxt,Briar Armor (altered),Lighter version of the Briar Armor,Chest Armor,29,61,0,21,0,10.7
17f693143a2l0i0o7sb9iurg2imsc,Briar Gauntlets,Battered iron gauntlets from a foreign land. Worn by Elemer of the Briar.,Gauntlets,12,24,8,8,3,3.9
17f69372895l0i0pgognb3zh05oyi,Briar Greaves,Battered iron greaves from a foreign land. Worn by Elemer of the Briar.,Leg Armor,22,44,15,15,9,7.3
17f69a0c78cl0i0oqxlf9xbqjdg8,Briar Helm,Battered iron helm from a foreign land. Worn by Elemer of he Brair.,Helm,15,31,10,10,5,5.1
17f69a8a3f0l0i0nhqn02vvk1xgq65q,Bull-goat Armor,"Great Horned Tragoth's armor. Covers its wearer with a pair of giant horns, providing staunch poise.",Chest Armor,71,83,46,55,47,26.5
17f69a9b4adl0i0o7ta34gq0aep43h,Bull-goat Gauntlets,"Great Horned Tragoth's gauntlets. Covers its wearer with a pair of giant horns, providing staunch poise.",Gauntlets,24,28,15,18,10,8.8
17f69387d24l0i0ph15szdiegzloyc,Bull-goat Greaves,"Great Horned Tragoth's greaves. Covers its wearer with a pair of giant horns, providing staunch poise.",Leg Armor,44,51,29,34,28,16.4
17f69654befl0i0oqpddt81oyl2ymq,Bull-goat Helm,"Great Horned Tragoth's helm, adorned with a gold bull-goat motif. Provides high poise.",Helm,31,35,20,23,15,11.3
17f6971b296l0i0nhfp8qwuekeaesn,Carian Knight Armor,"Armor of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were heroes of the highest honors, but fell into disarray with the decline of the royal family.",Chest Armor,28,46,21,23,12,10.6
17f697f035fl0i0nhj9wfzbt4cchj,Carian Knight Armor (altered),Lighter version of the Carian Knight Armor,Chest Armor,22,38,0,19,0,9.7
17f69b923f1l0i0o7wiqlqbak2haqc,Carian Knight Gauntlets,"Gauntlets of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen,  were heroes of the highest honors, but fell into disarray with the decline of the royal family.",Gauntlets,9,15,7,8,3,3.5
17f699dacd9l0i0pgr5dfa76ma68sc,Carian Knight Greaves,"Greaves of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were all decorated heroes, were heroes of the highest honors, but fell into disarray with the decline of the royal family.",Leg Armor,17,29,13,14,7,6.6
17f69ba1fd5l0i0oqx2o4ssdcb0cjp,Carian Knight Helm,"Helm of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were heroes of the highest honors, but fell into disarray with the decline of the royal family.",Helm,12,20,9,10,4,4.6
17f69488d67l0i0oqufjqdi484wn2,Cerulean Tear Scarab,Blue scarab worn directly on the head. These scarabs roll clumps of cerulean tears during their labors.,Helm,42,22,27,26,2,5.1
17f69a89e68l0i0nhk83o7u0bpk91k,Chain Armor,"Armor made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, it offers dependable protection.",Chest Armor,25,42,11,18,12,8.8
17f69991171l0i0oqodkekpq7kxpps,Chain Coif,"Coif made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, it offers dependable protection.",Helm,11,18,5,8,4,3.8
17f697c8d05l0i0o81mkc86pyw8tdh,Chain Gauntlets,"Gauntlets made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, they offer dependable protection.",Gauntlets,8,14,4,6,3,2.9
17f697261e6l0i0pgtgsp709nb4xsa,Chain Leggings,"Leggings made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, they offer dependable protection.",Leg Armor,16,26,7,11,7,5.5
17f69396920l0i0nhqr4mk5q440elb,Chain-draped Tabard,Padded cloth armor with a chainmail shawl draped over the shoulders. Widely issued to foot soldiers in a lord's army.,Chest Armor,63,42,55,55,8,8.3
17f69c14bf9l0i0o9a50murdvyr8wg,Champion Bracers,"Bracers reserved for the bandlands' bravest.  Proof that the wearer has slaughtered countless foes.  Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",Gauntlets,17,11,14,13,1,2.1
17f69a5c5bbl0i0o9b3mzby0ky19w,Champion Gauntlets,"Gauntlets reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",Gauntlets,22,16,21,0,0,1
17f69a16335l0i0oqmglk4lq7pv3zj,Champion Headband,"Headband reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",Helm,22,14,18,16,2,2.7
17f69aac7del0i0nhkvop92drjzgq,Champion Pauldron,"Pauldron reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",Chest Armor,46,28,38,35,3,5.1
17f69574f29l0i0nj8lj0vaeprdgq,Cleanrot Armor,"Armor of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all.",Chest Armor,63,67,28,32,23,15
17f69aaa630l0i0nj3bpfc2hdtz6bd,Cleanrot Armor (altered),Lighter version of the Cleanrot Armor,Chest Armor,52,54,0,22,0,13.7
17f69aed2ffl0i0o9a404fc0nm7z59o,Cleanrot Gauntlets,"Gauntlets of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all.",Gauntlets,21,22,9,11,5,5
17f69692d7dl0i0pgo4addilqmudug,Cleanrot Greaves,"Greaves of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering.",Leg Armor,39,41,17,20,13,9.3
17f69bd9f0el0i0oqvgpko7mchqig,Cleanrot Helm,"Winged helm of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering.",Helm,27,29,12,14,7,6.4
17f69b50692l0i0ors8nfgenfh7k6r,Cleanrot Helm (altered),Lighter version of the Cleanrot Helm,Helm,21,21,0,10,0,5.5
17f69be686fl0i0nizg2fcjv8u31em,Cloth Garb,"Clothing made of coarse material, commonly worn in the Lands Between.",Chest Armor,42,23,60,60,1,3.2
17f69b52568l0i0pgs8kizirn11qd,Cloth Trousers,"Trousers made of coarse material, commonly worn in the Lands Between.",Leg Armor,26,14,37,37,1,2
17f69bf382el0i0njdautt61bo7uj,Commoner's Garb,Garb with a thick embroidered cape attached. Standard wear for commoners of the Lands Between.,Chest Armor,42,25,76,83,2,5.1
17f69b1dc9cl0i0nj8l9fmv72bzrsi,Commoner's Garb (altered),Lighter version of the Commoner's Garb,Chest Armor,34,21,0,64,0,4.1
17f6953ed39l0i0oscswmckaqk283r,Commoner's Headband,A headband with the cloth removed. Standard wear for commoners of the Lands Between.,Helm,15,10,27,29,0,1.4
17f6969dd30l0i0osbp6z8er5o8d6s,Commoner's Headband (altered),Lighter version of the Commoner's Headband,Helm,12,8,0,24,0,0.7
17f692f026el0i0pgqn9h69g38vkus,Commoner's Shoes,"Modest shoes made of cloth. Standard wear for commoners of the Lands Between. Only, there are no commoners remaining with their wits about them.",Leg Armor,22,14,39,41,1,2
17f695d1369l0i0njkocj642d4zzl,Commoner's Simple Garb,"Garb with a modest cloth cape attached. Standard wear for commoners of the Lands Between. The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith.",Chest Armor,46,24,76,83,2,5.1
17f69ac8a94l0i0njlvxak0kr6y9r,Commoner's Simple Garb (altered),Lighter version of the Commoner's Simple Garb,Chest Armor,38,21,0,64,0,4.1
17f69854218l0i0njgqjqpsw5xkvfa,Confessor Armor,"Black leather armor for blending in with the darkness. Worn by church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",Chest Armor,63,50,50,55,6,8.3
17f69804d5fl0i0njgjdpbczm2va3d,Confessor Armor (altered),Lighter version of the Confessor Armor,Chest Armor,54,42,0,45,0,7.3
17f698d5444l0i0pi1ulnm1rc5qch,Confessor Boots,"Leather boots of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",Leg Armor,37,29,29,31,3,4.8
17f69a6ec0bl0i0o99uudum2zc466g,Confessor Gloves,"Black leather gloves of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",Gauntlets,21,17,17,18,1,2.8
17f695e92c2l0i0osb5pvuxurlcp6e,Confessor Hood,"Black hood for blending in with the darkness. Worn by church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",Helm,26,20,20,22,2,3.3
17f69932e0dl0i0osbzj9wtyl6vbrm,Confessor Hood (altered),Lighter version of the Confessor Hood,Helm,21,14,0,16,0,2.7
17f696b2ac9l0i0oshpfbw6uzu459u,Consort's Mask,"Mask worn by Tanith, Lady of the Volcano Manor, in the image of a foreign queen.",Helm,24,14,39,35,2,3.6
17f694d25a9l0i0njnlc9axlanhtan,Consort's Robe,"Fine robe of white silk worn by Tanith, Lady of the Volcano Manor.",Chest Armor,46,25,67,63,1,4.1
